time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-07T16:01:17.670Z,38.7913333,-122.7795,0.14,0.36,md,7.0,109.0,0.006832,0.01,nc,nc73868615,2023-04-07T18:11:12.098Z,"2km NW of The Geysers, CA",earthquake,0.35,0.9,0.351,7.0,reviewed,nc,nc
2023-04-07T16:00:08.164Z,36.704,-116.0725,0.5,0.0,ml,13.0,133.13,0.022,0.1492,nn,nn00857935,2023-04-07T18:18:00.578Z,"38 km WNW of Indian Springs, Nevada",earthquake,,2.8,0.1,5.0,reviewed,nn,nn
2023-04-07T15:59:26.640Z,38.7908325,-122.7813339,0.34,0.61,md,8.0,99.0,0.005654,0.03,nc,nc73868610,2023-04-07T17:29:20.864Z,"3km NW of The Geysers, CA",earthquake,0.32,0.93,0.36,10.0,automatic,nc,nc
2023-04-07T15:53:25.295Z,36.7041,-116.07,1.5,0.5,ml,19.0,134.03,0.024,0.1439,nn,nn00857934,2023-04-07T17:13:07.951Z,"38 km WNW of Indian Springs, Nevada",earthquake,,2.5,0.07,7.0,reviewed,nn,nn
2023-04-07T15:50:23.610Z,18.0173333333333,-66.8258333333333,14.21,2.48,md,8.0,155.0,0.06598,0.11,pr,pr71402868,2023-04-07T16:03:51.980Z,Puerto Rico region,earthquake,0.47,0.8,0.0285459962986789,6.0,reviewed,pr,pr
2023-04-07T15:49:30.710Z,38.8018341,-122.7731705,1.17,0.77,md,9.0,91.0,0.01059,0.02,nc,nc73868595,2023-04-07T16:37:15.543Z,"3km NNW of The Geysers, CA",earthquake,0.37,0.72,0.07,9.0,automatic,nc,nc
2023-04-07T15:49:03.551Z,25.4655,126.1365,56.197,4.6,mb,32.0,116.0,2.355,0.88,us,us6000k2pd,2023-04-07T16:44:03.040Z,"111 km NE of Hirara, Japan",earthquake,9.36,6.236,0.064,73.0,reviewed,us,us
2023-04-07T15:47:22.940Z,19.1215000152588,-155.391998291016,29.0900001525879,1.76999998,md,37.0,185.0,,0.129999995,hv,hv73358412,2023-04-07T16:04:01.555Z,"12 km SE of Pāhala, Hawaii",earthquake,0.66,1.19000006,0.879999995,3.0,automatic,hv,hv
2023-04-07T15:46:13.332Z,59.4167,-144.7959,14.4,2.7,ml,,,,0.22,ak,ak0234goc1xx,2023-04-07T16:38:16.040Z,"136 km SSE of Cordova, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-04-07T15:44:37.928Z,61.2575,-148.0507,0.0,1.7,ml,,,,0.97,ak,ak0234goboeo,2023-04-07T15:46:49.070Z,"51 km ESE of Knik River, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-04-07T15:44:04.352Z,41.8388,81.9491,10.0,4.2,mb,25.0,80.0,2.351,1.08,us,us6000k2pc,2023-04-07T16:33:10.040Z,"82 km W of Kuqa, China",earthquake,6.27,1.933,0.146,14.0,reviewed,us,us
2023-04-07T15:36:29.590Z,38.8188333,-122.8173333,1.77,0.47,md,5.0,248.0,0.007274,0.01,nc,nc73868590,2023-04-07T18:18:11.140Z,"7km NW of The Geysers, CA",earthquake,0.93,1.1,0.167,5.0,reviewed,nc,nc
2023-04-07T15:30:31.220Z,38.0725,-112.4495,4.7,1.62,ml,15.0,129.0,0.2116,0.24,uu,uu60033094,2023-04-07T18:30:47.240Z,"19 km SW of Circleville, Utah",earthquake,0.79,12.8,0.11,4.0,reviewed,uu,uu
2023-04-07T15:10:44.732Z,61.2603,-145.9937,35.5,1.6,ml,,,,0.57,ak,ak0234go4el5,2023-04-07T15:23:18.700Z,"23 km NE of Valdez, Alaska",earthquake,,0.5,,,automatic,ak,ak
